Date,Open,High,Low,Close,Adj Close,Volume
2007-12-26,227.500000,228.194000,221.250000,227.225006,69.431046,4604376
2007-12-27,228.000000,229.850006,224.018997,225.300003,68.842834,8358504
2007-12-28,221.250000,226.250000,213.761993,224.531006,68.607857,4784160
2007-12-31,225.125000,225.625000,219.886993,221.238007,67.601639,5272944
2008-01-01,220.824997,222.324997,217.781006,218.356003,66.721024,2001624
2008-01-02,218.750000,219.919006,214.050003,218.537994,66.776619,6155056
2008-01-03,224.625000,224.625000,211.250000,213.630997,65.277222,12425960
2008-01-04,218.425003,218.425003,210.000000,211.863007,64.737015,6166320
2008-01-07,208.750000,211.250000,202.875000,204.606003,62.519566,13254200
2008-01-08,206.875000,209.988007,202.768997,207.781006,63.489704,15531264
2008-01-09,206.875000,212.375000,205.794006,206.619003,63.134655,14714680
2008-01-10,210.925003,211.250000,198.500000,200.319000,61.209610,15498280
2008-01-11,212.500000,217.406006,195.625000,197.718994,60.415161,22633144
2008-01-14,199.875000,201.250000,190.625000,191.188004,58.419540,16050824
2008-01-15,193.000000,194.363007,187.500000,187.761993,57.372692,12786224
2008-01-16,187.500000,189.875000,183.761993,186.912994,57.113270,11127096
2008-01-17,187.500000,190.656006,185.625000,186.300003,56.925976,9699600
2008-01-18,186.625000,187.250000,181.369003,183.550003,56.085667,8136992
2008-01-21,182.488007,186.250000,163.024994,173.886993,53.133041,22169536
2008-01-22,167.500000,180.500000,156.875000,172.613007,52.743752,27680552
2008-01-23,181.125000,182.324997,171.524994,177.750000,54.313435,17827184
2008-01-24,181.125000,187.875000,174.375000,177.819000,54.334492,13942864
2008-01-25,178.750000,192.350006,178.750000,189.981003,58.050739,6650192
2008-01-28,184.250000,187.500000,175.906006,180.794006,55.243553,7788688
2008-01-29,181.250000,188.718994,181.250000,186.574997,57.009991,9040664
2008-01-30,188.875000,188.875000,184.031006,186.656006,57.034744,7139816
2008-01-31,187.000000,191.863007,183.774994,187.380997,57.256268,17885296
2008-02-01,188.250000,201.000000,188.250000,199.324997,60.905895,11143960
2008-02-04,204.311996,208.119003,200.625000,205.005997,62.641788,11361168
2008-02-05,204.625000,204.625000,198.125000,201.162994,61.467525,8020712
2008-02-06,188.125000,196.863007,187.500000,188.744003,57.672741,9944016
2008-02-07,193.212006,193.212006,184.031006,185.294006,56.618584,4179600
2008-02-08,185.000000,197.125000,184.875000,194.044006,59.292217,13180592
2008-02-11,193.750000,200.000000,190.031006,194.744003,59.506115,13978800
2008-02-12,195.000000,200.000000,191.919006,193.156006,59.020882,8462432
2008-02-13,196.250000,206.255997,187.669006,193.175003,59.026691,9893968
2008-02-14,190.688004,199.925003,190.688004,193.343994,59.078327,11749944
2008-02-15,192.500000,197.500000,187.625000,195.675003,59.790596,8952256
2008-02-18,196.250000,197.375000,192.531006,194.393997,59.399170,3266176
2008-02-19,195.000000,196.906006,190.811996,194.561996,59.450504,5356392
2008-02-20,196.375000,198.725006,194.561996,196.113007,59.924435,7002904
2008-02-21,199.988007,206.250000,196.537994,203.444000,62.164501,10366768
2008-02-22,201.500000,202.850006,196.444000,197.580994,60.372993,4970504
2008-02-25,199.850006,202.981003,197.875000,201.893997,61.690887,7592448
2008-02-26,202.375000,209.000000,201.250000,207.856003,63.512627,8402704
